day,url,role,expected_sha256,actual_sha256,hash_match,download_ok,parse_ok,rows,duplicate_timestamp_rows,timestamp_unit_source,first_open_utc,last_open_utc,full_day_5m_continuity,error
2023-09-05,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-09-05.zip,EVENT_DAY,42721c582a48f4fef7d1ff44cde803bf88d898dd23035f271fad2fe2aff1a525,42721c582a48f4fef7d1ff44cde803bf88d898dd23035f271fad2fe2aff1a525,True,True,True,288,0,milliseconds,2023-09-05T00:00:00+00:00,2023-09-05T23:55:00+00:00,True,
2023-09-06,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-09-06.zip,NEXT_DAY,,9d13d94aeb7b5f98273d8fb119a7d0d04445ed27a5610b148ec57490d1252129,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-09-06T00:00:00+00:00,2023-09-06T23:55:00+00:00,True,
2023-09-22,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-09-22.zip,EVENT_DAY,8b247c978999f4637323b153c9b75f2a9ffddd08e14e70ad028475ec2fc81e7f,8b247c978999f4637323b153c9b75f2a9ffddd08e14e70ad028475ec2fc81e7f,True,True,True,288,0,milliseconds,2023-09-22T00:00:00+00:00,2023-09-22T23:55:00+00:00,True,
2023-09-23,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-09-23.zip,NEXT_DAY,,636fd6f20fe445c24e1f00a3909b3e1a0c8adf47c8e1cc5883592af5923348e0,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-09-23T00:00:00+00:00,2023-09-23T23:55:00+00:00,True,
2023-11-07,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-11-07.zip,EVENT_DAY,e8058364e2394f6b48c8f9a7533686643aed4ec9e10f57d7bb054bc75e93db76,e8058364e2394f6b48c8f9a7533686643aed4ec9e10f57d7bb054bc75e93db76,True,True,True,288,0,milliseconds,2023-11-07T00:00:00+00:00,2023-11-07T23:55:00+00:00,True,
2023-11-08,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-11-08.zip,NEXT_DAY,,8d396b2e50243928ecc089112b13fde1748013affaa5120e447f546a105b82c4,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-11-08T00:00:00+00:00,2023-11-08T23:55:00+00:00,True,
2023-12-05,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-12-05.zip,EVENT_DAY,47c1c05b2e22301d7a7eda4008482697e9a5126ea483fc7a96e154abe80e1800,47c1c05b2e22301d7a7eda4008482697e9a5126ea483fc7a96e154abe80e1800,True,True,True,288,0,milliseconds,2023-12-05T00:00:00+00:00,2023-12-05T23:55:00+00:00,True,
2023-12-06,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-12-06.zip,NEXT_DAY,,58be3282044d5d3be38ede3fb983b61ecc682fadcffa57dbe218bf87cfdbd503,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-12-06T00:00:00+00:00,2023-12-06T23:55:00+00:00,True,
2024-01-07,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01-07.zip,EVENT_DAY,764305d38aa830b74f5636863402984c02972dace28bf3700768f13bf2fda599,764305d38aa830b74f5636863402984c02972dace28bf3700768f13bf2fda599,True,True,True,288,0,milliseconds,2024-01-07T00:00:00+00:00,2024-01-07T23:55:00+00:00,True,
2024-01-08,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01-08.zip,EVENT_DAY,513286254d8f19b6c058cb5c8189c1ea539688831b32b609d82ebf2eb0de822d,513286254d8f19b6c058cb5c8189c1ea539688831b32b609d82ebf2eb0de822d,True,True,True,288,0,milliseconds,2024-01-08T00:00:00+00:00,2024-01-08T23:55:00+00:00,True,
